Season,Oppo,PTS,BPM,FGM,FGA,FG%,3PM,3PA,3P%
2017,TOR,10,27,4,15,26.7,0,2,0.0
2017,TOR,20,-9,6,14,42.9,3,3,100.0
2017,TOR,20,17,8,15,53.3,1,4,25.0
2017,TOR,10,-12,4,13,30.8,0,3,0.0
2017,TOR,8,-10,3,8,37.5,0,2,0.0
2017,TOR,19,0,6,13,46.2,3,5,60.0
2018,BOS,31,11,12,20,60.0,5,7,71.4
2018,BOS,25,-18,10,14,71.4,4,6,66.7
2018,BOS,23,17,10,17,58.8,3,6,50.0
2018,BOS,23,0,8,14,57.1,3,5,60.0
2018,BOS,23,3,9,21,42.9,3,6,50.0
2018,BOS,16,-3,7,8,87.5,2,2,100.0
2018,BOS,32,0,11,18,61.1,5,9,55.6
2019,DET,14,30,5,13,38.5,4,7,57.1
2019,DET,24,24,7,15,46.7,2,6,33.3
2019,DET,20,21,7,13,53.8,3,6,50.0
2019,DET,18,4,5,11,45.5,2,5,40.0
2019,BOS,16,-11,5,12,41.7,3,4,75.0
2019,BOS,28,25,10,18,55.6,7,10,70.0
